credit_score,income,loan_amount,loan_term,employment_status,property_value,loan_purpose,down_payment,residence_type,monthly_debt,fraud
816,57631.52,172141.74,10,employed,265196.65,purchase,47113.37,primary,1799.9596534336838,0
757,44960.52,219495.84,20,employed,336570.38,refinance,42114.43,secondary,446.12753821632214,0
847,32194.92,198853.2,30,unemployed,253821.41,home_improvement,19185.19,primary,993.8582532073451,0
651,61168.91,224470.32,10,self-employed,198034.1,home_improvement,25108.19,investment,630.1124917701387,0
657,41055.58,172539.75,30,unemployed,286421.59,home_improvement,17573.86,primary,469.8446424485006,0
652,62227.39,194512.66,30,employed,222799.29,home_improvement,46835.32,primary,643.4207821292033,0
619,32133.89,240517.1,15,unemployed,293181.03,refinance,17714.17,secondary,906.941648285105,0
775,60710.55,197718.44,30,self-employed,204198.03,purchase,39463.54,investment,1629.617982797736,0
610,72360.02,158879.81,25,employed,333964.3,home_improvement,28121.48,secondary,1110.3554516923111,0
813,39843.36,127746.75,15,employed,418305.96,purchase,48379.32,investment,780.0726904006681,0
697,80167.09,153787.9,20,unemployed,430493.04,home_improvement,24398.67,primary,1840.2020037472623,0
773,60277.45,204230.51,15,employed,348373.66,home_improvement,41448.57,primary,1299.20738022132,0
732,59993.54,238132.74,10,self-employed,303301.69,home_improvement,39014.41,secondary,1986.2693338152258,0
777,32620.25,217547.0,15,unemployed,413934.86,purchase,27343.96,primary,430.6915461123404,0
629,59706.44,186188.92,15,self-employed,304417.05,purchase,49264.86,secondary,1327.105002094814,0
779,60056.38,205228.8,30,employed,223369.85,purchase,46634.71,investment,483.11815943883596,0
611,52780.14,196497.85,20,self-employed,336681.96,home_improvement,29963.24,primary,553.9203495154022,0
787,45923.14,217259.94,20,unemployed,303180.74,purchase,23330.76,investment,594.1539223469038,0
831,21012.49,211489.64,15,self-employed,321202.4,home_improvement,47035.28,secondary,589.8874934038649,0
806,74945.71,175941.73,15,employed,290959.35,refinance,14229.5,investment,1239.7655398070758,0
636,59132.95,213793.83,15,self-employed,257726.59,refinance,15347.35,secondary,683.979026764044,0
790,85609.64,214961.24,30,unemployed,177617.46,home_improvement,12564.49,secondary,1225.108476847525,0
697,39020.61,169473.04,20,self-employed,317611.57,purchase,14739.21,investment,743.811839192817,0
781,44492.35,260646.83,10,self-employed,339129.91,refinance,38174.94,secondary,333.8290857601711,0
835,37501.17,246050.36,20,unemployed,277196.34,purchase,36983.54,primary,683.3814703086117,0
649,48071.39,179768.93,15,employed,281498.74,home_improvement,11197.11,primary,587.5670234716143,0
758,53831.71,216636.86,15,employed,251409.66,refinance,23001.86,primary,464.9108970876972,0
763,59651.1,196172.18,15,unemployed,360544.3,refinance,30526.81,investment,1581.140335728357,0
652,65639.9,208210.04,10,self-employed,397491.82,home_improvement,38040.88,investment,1799.1429656544333,0
656,71060.75,200844.92,30,self-employed,248237.67,purchase,49599.08,secondary,1900.388506574206,0
724,64728.25,199626.55,25,self-employed,323158.02,refinance,29647.79,investment,1224.7579986981996,0
748,49646.7,194142.24,25,self-employed,307866.15,purchase,17828.21,primary,1074.850073961821,0
621,34021.66,235309.74,25,self-employed,358264.31,purchase,45527.75,primary,813.5465058662347,0
638,52767.54,197178.6,10,unemployed,305801.07,purchase,32104.8,investment,236.44504422990914,0
672,44781.52,186614.49,15,unemployed,286168.11,purchase,38046.65,investment,693.5906250501909,0
737,48058.7,196174.51,15,self-employed,272325.92,home_improvement,20690.43,secondary,1412.7010957295074,0
845,60051.14,186682.19,20,self-employed,292054.18,home_improvement,43098.44,investment,847.4673965430335,0
706,53333.62,191651.16,10,self-employed,300129.02,refinance,40049.01,investment,331.94366112392765,0
655,59650.51,242381.4,15,unemployed,302268.61,purchase,10687.75,secondary,1624.750285437698,0
687,41103.14,194634.78,30,unemployed,355206.24,purchase,28700.97,primary,920.0497894895378,0
728,66702.36,169677.36,20,employed,213838.14,home_improvement,12044.5,investment,1542.0307767224979,0
683,75571.49,232930.25,15,self-employed,210238.47,purchase,12778.14,primary,593.1789140981244,0
725,71202.27,169984.87,20,self-employed,341499.54,home_improvement,29568.88,investment,396.9863819201697,0
805,33202.41,205709.44,15,employed,239896.88,refinance,31826.26,secondary,745.8900399223041,0
734,35398.34,182907.28,20,self-employed,294262.36,refinance,10685.07,primary,578.2599217553919,0
792,65380.81,213942.66,30,unemployed,232779.67,home_improvement,43080.57,investment,618.8142276168085,0
669,59173.58,206908.37,10,employed,172623.58,home_improvement,13464.91,investment,329.9770936785436,0
641,58758.42,205286.69,10,employed,293509.74,purchase,49350.45,primary,851.6047205241454,0
770,40559.06,130676.64,30,unemployed,358300.25,home_improvement,13962.04,primary,923.3099624452118,0
802,45036.49,230920.19,30,self-employed,215230.16,home_improvement,12133.69,investment,1316.7591557900766,0
792,43159.19,204283.7,30,unemployed,359205.93,purchase,14450.74,primary,433.5320869502377,0
688,32820.27,145157.97,25,unemployed,297064.55,home_improvement,40558.18,secondary,974.8721407899711,0
644,64469.19,149784.89,20,self-employed,241725.08,home_improvement,20951.2,investment,2078.070424510369,0
839,52045.19,218814.31,10,self-employed,338880.02,purchase,10599.68,primary,1260.2182118474614,0
655,46971.34,196917.93,10,unemployed,317818.94,home_improvement,41744.04,primary,1083.7778054491287,0
706,54286.7,204799.21,25,self-employed,358326.23,refinance,31500.66,primary,686.8194854886067,0
775,64464.4,215893.78,30,self-employed,253609.05,home_improvement,31641.12,secondary,633.2260398323576,0
613,53336.4,233301.47,30,unemployed,245179.42,home_improvement,40058.15,secondary,1430.40926136004,0
673,60220.68,247977.09,30,self-employed,307851.84,purchase,42224.1,investment,915.6005847443133,0
840,51539.12,216579.01,25,self-employed,234401.36,refinance,15291.44,secondary,770.7896617278174,0
825,87109.2,185362.73,10,employed,263513.42,refinance,41250.57,secondary,2319.0019486545493,0
604,52157.7,240649.37,25,unemployed,416820.06,purchase,12484.86,primary,275.7057824420673,0
365,9752.72,265790.47,30,self-employed,213105.25,home_improvement,6873.95,secondary,254.75379152518988,1
616,41498.0,171636.0,15,self-employed,249468.04,home_improvement,24442.39,secondary,876.6395898862182,0
717,20866.8,170624.61,30,self-employed,283627.6,home_improvement,30781.89,investment,300.3715630691688,0
725,41160.22,219947.85,25,employed,289899.73,purchase,26792.31,investment,500.4392905324809,0
686,52002.3,168860.9,15,employed,359073.22,purchase,44505.76,primary,630.1869038984314,0
628,38296.44,269222.19,30,self-employed,251603.27,refinance,12672.36,secondary,762.0288621204767,0
718,65647.52,229705.67,25,unemployed,229670.77,purchase,32225.46,investment,1085.9209298685587,0
632,81935.13,207543.53,25,self-employed,283840.37,home_improvement,49872.94,investment,1397.2983307843595,0
615,57701.78,232390.53,25,employed,204571.17,purchase,26366.04,primary,757.3639361328403,0
767,27703.38,240330.01,15,unemployed,240307.95,refinance,31124.51,secondary,759.0477248317856,0
676,71249.59,210540.88,10,self-employed,342265.93,home_improvement,41197.91,secondary,807.039833948018,0
665,71666.35,215502.49,10,self-employed,389353.17,purchase,43029.29,secondary,2076.8189127179,0
839,36729.51,195292.17,30,unemployed,311275.25,home_improvement,48490.43,secondary,314.22979841239567,0
831,40674.2,213239.84,30,unemployed,390671.33,refinance,19632.69,primary,200.38577154725473,0
685,52953.49,218342.1,20,employed,248951.02,purchase,49651.56,primary,1008.9307518844863,0
690,45655.44,215025.09,25,unemployed,222323.28,purchase,47029.44,investment,403.69590601080057,0
786,36403.63,189669.47,20,self-employed,257221.05,home_improvement,45466.06,primary,912.475331610901,0
747,44103.61,172281.08,30,unemployed,176051.21,purchase,26367.5,investment,1230.4029868455596,0
700,36779.92,231607.15,15,unemployed,385677.74,home_improvement,15909.85,secondary,1016.4913460090266,0
671,40777.0,199154.05,20,unemployed,318538.52,purchase,38245.11,secondary,807.5555047946483,0
776,82052.39,195048.34,10,self-employed,347480.95,home_improvement,48133.29,secondary,2126.897076990936,0
686,38859.31,233016.62,20,employed,290149.22,home_improvement,26668.08,investment,695.9206477489463,0
737,69644.75,202467.04,15,unemployed,223742.06,home_improvement,42431.45,primary,724.8393699160881,0
825,38353.18,180823.11,25,self-employed,357022.59,home_improvement,27321.73,investment,531.1998517605538,0
848,55523.09,199379.6,30,unemployed,280881.89,purchase,42529.62,investment,1812.9975074042823,0
718,68893.15,204098.52,30,employed,262565.74,purchase,45136.37,primary,2075.6488413128527,0
842,46877.18,191162.85,10,self-employed,341453.21,purchase,29922.64,investment,733.9323298686596,0
670,73447.65,175964.04,30,self-employed,302871.82,purchase,34827.61,investment,640.5864639940809,0
845,27582.79,167558.86,10,employed,400277.15,home_improvement,17121.16,secondary,445.199164587728,0
776,42068.22,219250.36,20,employed,262533.2,refinance,38285.93,primary,1082.9721044250082,0
843,32118.73,262280.71,25,employed,366008.97,refinance,46515.95,primary,632.1643896492958,0
612,61104.73,240368.22,30,unemployed,208879.4,home_improvement,10628.06,investment,1953.4356592365975,0
844,46888.35,195530.75,10,unemployed,283104.02,refinance,21347.52,secondary,615.6345929641499,0
738,62612.43,222459.98,25,employed,216211.52,purchase,40172.86,investment,1401.1164726511024,0
729,40897.65,197753.97,10,unemployed,252419.17,purchase,25277.23,investment,756.9073378759088,0
814,32706.03,189188.76,25,self-employed,348887.24,refinance,43645.65,investment,221.3649855358773,0
762,53791.9,172427.29,30,self-employed,254331.88,home_improvement,41800.47,primary,347.1378182897903,0
638,47702.58,182882.85,15,self-employed,265074.58,home_improvement,35281.13,secondary,1386.0940771301296,0
730,43892.21,188796.58,30,employed,334597.28,home_improvement,22202.39,investment,449.54083724735904,0
781,52304.16,206991.84,15,unemployed,335415.16,refinance,15201.36,investment,295.42732430524853,0
755,50747.74,213570.22,30,self-employed,266827.32,purchase,33198.04,investment,828.2372729929907,0
702,59235.99,236688.82,15,employed,312257.78,home_improvement,25884.79,investment,378.8108225761944,0
622,53197.69,140853.38,15,unemployed,322695.51,refinance,26194.1,investment,1396.1824915784616,0
755,70082.75,239942.14,15,unemployed,353086.81,purchase,20970.4,secondary,1107.4590391824024,0
645,35600.43,220145.68,25,unemployed,332005.44,purchase,31920.1,secondary,1060.6141454456094,0
682,68819.07,214776.27,25,self-employed,268801.25,purchase,30965.13,investment,317.5517366666737,0
773,64195.91,194224.69,10,self-employed,412054.72,refinance,39332.06,secondary,1858.847745305242,0
658,45028.82,206732.67,15,self-employed,372482.16,purchase,28541.46,investment,1230.666425220721,0
687,44834.43,149316.17,15,unemployed,238314.16,refinance,43720.42,investment,233.99648865590302,0
484,39436.23,229255.07,30,self-employed,251347.96,refinance,6259.72,primary,1605.719866124846,1
617,56472.65,203493.07,10,employed,369721.11,home_improvement,16402.85,primary,1806.7037984271983,0
760,33053.87,261222.76,25,unemployed,292480.84,refinance,38547.02,secondary,557.1062226008279,0
698,44070.93,184102.37,20,unemployed,268933.93,home_improvement,26380.96,primary,192.43695731005394,0
625,41534.94,184937.1,15,self-employed,322429.0,home_improvement,37233.65,secondary,935.9821138843926,0
766,54265.82,226090.99,10,employed,168234.99,purchase,47837.72,secondary,777.354247480877,0
635,76159.28,203552.31,10,unemployed,293761.06,purchase,30605.03,investment,1055.6336497754737,0
634,76577.33,168095.29,10,self-employed,273160.93,refinance,11304.39,secondary,1119.0728091311423,0
629,49027.71,217520.35,20,unemployed,281642.59,home_improvement,11547.19,secondary,813.0601600449569,0
742,60367.78,237060.23,15,employed,152025.02,refinance,15838.17,secondary,645.0549603788365,0
706,22013.76,286117.41,10,employed,243571.14,refinance,19177.3,primary,705.837144477533,0
534,28811.64,293267.25,20,unemployed,296758.46,purchase,15814.41,investment,297.3933216894918,1
648,91724.8,155328.42,20,self-employed,155478.21,home_improvement,32545.26,primary,1348.9116726442014,0
667,70009.13,201370.16,20,employed,189606.59,home_improvement,14028.04,secondary,837.7524039889357,0
667,53358.42,207227.35,10,self-employed,289275.35,refinance,21206.35,secondary,766.1600735792312,0
807,51932.95,167445.87,15,self-employed,235199.11,home_improvement,42868.79,secondary,415.053728841671,0
847,47315.34,225832.92,30,self-employed,270568.19,refinance,11630.45,primary,441.1472494954454,0
748,54080.04,211540.6,30,unemployed,304159.73,home_improvement,15689.14,primary,585.7767889142248,0
727,47749.9,223939.12,20,self-employed,304135.47,refinance,47629.3,secondary,1194.4488784758212,0
797,53162.62,180420.46,20,self-employed,152778.68,refinance,24882.61,primary,1536.7309390276087,0
693,63201.34,160162.15,10,employed,199287.77,refinance,28932.02,secondary,493.11149740392625,0
624,49421.14,232809.48,10,employed,302134.26,purchase,32857.77,primary,844.4724102919582,0
692,66697.92,174031.01,20,self-employed,265886.29,refinance,25155.26,secondary,1355.0771732824408,0
848,47556.71,145604.35,30,self-employed,283625.71,refinance,26918.04,primary,375.11755824402996,0
628,31808.71,183369.36,30,employed,308327.41,home_improvement,43292.3,primary,695.9373457147558,0
693,31500.81,216864.61,30,self-employed,292524.21,home_improvement,22365.9,secondary,412.05739071550914,0
747,40631.33,203372.68,25,unemployed,338870.36,purchase,13471.71,investment,192.9032616203961,0
721,57407.43,251858.72,25,employed,322673.64,refinance,25117.62,secondary,535.3248919217497,0
752,57272.7,197760.47,15,employed,213906.85,purchase,24086.18,investment,1209.0461952254973,0
709,75281.51,202710.1,30,self-employed,299748.36,refinance,19310.34,secondary,1159.147758284644,0
771,48822.43,200484.4,20,self-employed,173444.68,purchase,41127.33,secondary,1584.5503078962768,0
789,81065.15,220967.79,20,employed,397608.94,home_improvement,33342.28,investment,2339.0992516431875,0
397,29594.13,278231.24,30,self-employed,278087.07,purchase,15456.85,primary,1110.8608411134448,1
770,87308.52,175595.2,10,employed,241247.38,home_improvement,28366.87,primary,731.790889275682,0
641,46541.21,239364.52,15,employed,381073.03,refinance,35208.76,investment,1123.3942440892906,0
693,42489.36,189504.76,10,self-employed,349203.4,purchase,15276.86,investment,1309.2339833887943,0
800,80691.18,183632.55,20,employed,304978.05,purchase,18915.22,primary,1949.2729504080883,0
